Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RPI-ZERO-ADA3708","RPI-4",142.500000,-103.000000,0.000000,top
"BT1","BATT-S8411-45R","BATT-S8411-45R",157.000000,-65.000000,-90.000000,top
"C1","12p","C_1206_3216Metric",146.250000,-121.750000,0.000000,top
"C2","0.01u","C_1206_3216Metric",133.000000,-140.250000,180.000000,top
"C3","15p","C_1206_3216Metric",151.250000,-126.500000,-90.000000,top
"C4","330p","C_1206_3216Metric",142.750000,-146.500000,0.000000,top
"C5","0.01u","C_1206_3216Metric",123.250000,-139.250000,90.000000,top
"C6","10u","C_1206_3216Metric",115.000000,-131.750000,180.000000,top
"C7","0.33u","C_1206_3216Metric",115.000000,-135.750000,180.000000,top
"C8","2.2u","C_1206_3216Metric",167.250000,-110.500000,0.000000,top
"C9","100p","C_1206_3216Metric",167.250000,-114.500000,0.000000,top
"C10","6.8p","C_1206_3216Metric",169.250000,-129.500000,0.000000,top
"C11","6.8p","C_1206_3216Metric",169.250000,-133.250000,0.000000,top
"C12","39p","C_1206_3216Metric",167.750000,-137.750000,-90.000000,top
"C13","10u","C_1206_3216Metric",148.000000,-110.000000,90.000000,top
"C14","0.1u","C_1206_3216Metric",144.000000,-110.000000,90.000000,top
"C15","100p","C_1206_3216Metric",131.500000,-118.500000,0.000000,top
"C16","100p","C_1206_3216Metric",154.000000,-149.000000,90.000000,top
"C17","1u","C_1206_3216Metric",131.500000,-115.000000,0.000000,top
"C18","1u","C_1206_3216Metric",150.000000,-149.000000,90.000000,top
"C19","0.47u","C_1206_3216Metric",117.750000,-62.000000,0.000000,top
"C20","0.47u","C_1206_3216Metric",136.775000,-66.500000,-90.000000,top
"D1","LED","LED_D3.0mm",175.000000,-66.381250,-90.000000,top
"IC1","SWITCH-HSWA4-63DR+","SWITCH-HSWA4-63DR+",125.000000,-119.905000,0.000000,top
"IC2","SWITCH-HSWA4-63DR+","SWITCH-HSWA4-63DR+",160.000000,-147.600000,180.000000,top
"J1","SMA-LPRS-CONNECTOR","SMA-LPRS-CONNECTOR",172.500000,-147.500000,0.000000,top
"L1","40n","L_1008_2520Metric",144.750000,-126.250000,-90.000000,top
"L2","620n","L_1008_2520Metric",131.425000,-145.500000,-90.000000,top
"L3","4.3n","L_1210_3225Metric",152.750000,-121.750000,0.000000,top
"L4","CHOKE-LQH44PN4R7MP0L","CHOKE-LQH44PN4R7MP0L",118.000000,-140.750000,0.000000,top
"L5","47n","L_1008_2520Metric",165.750000,-119.000000,-90.000000,top
"L6","5.1n","L_1210_3225Metric",167.750000,-124.750000,-90.000000,top
"R1","150R","R_1206_3216Metric",136.750000,-146.500000,0.000000,top
"R2","5.1R","R_1206_3216Metric",173.250000,-114.500000,0.000000,top
"R3","4.7K","R_1206_3216Metric",140.525000,-59.500000,-90.000000,top
"R4","4.7K","R_1206_3216Metric",136.775000,-59.500000,-90.000000,top
"R5","154R","R_1206_3216Metric",175.000000,-62.156250,90.000000,top
"U1","HMC452ST89ETR","PAMP-HMC453ST89ETR",159.750000,-120.000000,0.000000,top
"U2","PGA-103+","LNA-PGA-103+",125.000000,-146.000000,180.000000,top
"U3","RFM96W-433S2","TRX-RFM98W-433",142.500000,-97.500000,-90.000000,top
"U4","DS3231M","RTC-DS3231M-TRL",128.000000,-65.000000,0.000000,top
