Designator,Footprint,Quantity,Value,LCSC Part #
A1,RPI-4,1,RASPBERRY-PI,
BT1,BATT-S8411-45R,1,S8411-45R,
"C1, C13, C20",C_1206_3216Metric,3,1u,
"C10, C11",C_1206_3216Metric,2,6.8p,
"C12, C19, C6",C_1206_3216Metric,3,100p,
C14,C_1206_3216Metric,1,10u,
C15,C_1206_3216Metric,1,330n,
"C16, C17",C_1206_3216Metric,2,10n,
C18,C_1206_3216Metric,1,330p,
"C2, C3, C4",C_1206_3216Metric,3,100n,
C5,C_1206_3216Metric,1,2.2u,
C7,C_1206_3216Metric,1,12p,
C8,C_1206_3216Metric,1,39p,
C9,C_1206_3216Metric,1,15p,
D1,LED_D3.0mm,1,LED,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad,4,MountingHole_Pad,
"J1, J2",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,JST-SH,
J3,SMA-LPRS-CONNECTOR,1,SMA-LPRS,
L1,L_1008_2520Metric,1,47n,
L2,L_1210_3225Metric,1,4.3n,
L3,L_1210_3225Metric,1,5.1n,
L4,L_1008_2520Metric,1,40n,
L5,CHOKE-LQH32NH4R7J23L,1,LQH32NH4R7J23L,
L6,L_1008_2520Metric,1,620n,
R1,R_1206_3216Metric,1,47K,
R2,R_1206_3216Metric,1,0R,
R3,R_1206_3216Metric,1,5.1R,
R4,R_1206_3216Metric,1,1K,
R5,R_1206_3216Metric,1,150R,
S1,SWITCH-500SSP1S1M2QEA,1,500SSP1S1M2QEA,
U1,TRX-RFM98W-433,1,RFM96W-433,
U2,RTC-DS3231M-TRL,1,DS3231M,
"U3, U5",SWITCH-HSWA4-63DR+,2,HSWA4-63DR+,
U4,PAMP-HMC453ST89ETR,1,HMC452ST89,
U6,LNA-PGA-103+,1,PGA-103+,
