Designator,Mid X,Mid Y,Rotation,Layer
A1,142.5,-99.5,0.0,top
BT1,128.0,-61.5,-90.0,bottom
C1,114.5,-99.0,90.0,top
C10,168.975,-124.5,0.0,top
C11,168.975,-129.0,0.0,top
C12,131.5,-111.0,0.0,top
C13,131.5,-107.5,0.0,top
C14,115.025,-127.5,180.0,top
C15,115.025,-131.5,180.0,top
C16,132.975,-136.5,180.0,top
C17,123.25,-131.0,90.0,top
C18,144.75,-132.25,0.0,top
C19,154.0,-140.475,-90.0,top
C2,136.775,-63.0,-90.0,top
C20,150.0,-140.475,-90.0,top
C3,119.0,-99.0,90.0,top
C4,117.75,-58.5,0.0,top
C5,166.025,-100.0,180.0,top
C6,166.025,-104.5,180.0,top
C7,146.25,-114.25,0.0,top
C8,164.0,-131.75,180.0,top
C9,151.25,-119.0,-90.0,top
D1,172.5,-62.5,-90.0,top
J1,152.5,-54.0,180.0,top
J2,162.5,-54.0,180.0,top
J3,170.0,-145.0,0.0,top
L1,167.5,-110.0,-90.0,top
L2,152.75,-114.25,0.0,top
L3,167.5,-118.9,-90.0,top
L4,144.75,-118.75,-90.0,top
L5,118.0,-136.5,0.0,top
L6,132.575,-132.25,0.0,top
R1,153.25,-85.5,180.0,top
R2,172.5,-85.5,-90.0,top
R3,160.0,-104.5,180.0,top
R4,172.5,-58.5375,90.0,top
R5,138.5,-132.25,0.0,top
S1,156.5,-93.0,180.0,top
U1,132.0,-93.0,-90.0,top
U2,128.0,-61.5,0.0,top
U3,125.0,-112.405,0.0,top
U4,160.0,-112.5,0.0,top
U5,160.0,-137.345,180.0,top
U6,125.0,-138.5,180.0,top
